movie_code,director_code
1000383,3000472
1000383,3000453
1000384,3000041
1000385,3000306
1000386,3000294
1000387,3000176
1000388,3000466
1000389,3000328
1000390,3000103
1000391,3000102
1000392,3000514
1000393,3000337
1000394,3000339
1000395,3000106
1000396,3000377
1000397,3000515
1000398,3000087
1000399,3000289
1000400,3000266
1000400,3000072
1000401,3000429
1000402,3000339
1000403,3000424
1000404,3000474
1000405,3000341
1000406,3000389
1000407,3000473
1000408,3000430
1000408,3000419
1000409,3000350
1000410,3000410
1000411,3000323
1000412,3000525
1000413,3000407
1000414,3000427
1000415,3000090
1000416,3000263
1000416,3000365
1000417,3000443
1000418,3000178
1000419,3000022
1000420,3000094
1000421,3000442
1000422,3000221
1000423,3000420
1000424,3000273
1000425,3000369
1000426,3000277
1000427,3000410
1000428,3000055
1000429,3000413
1000430,3000055
1000431,3000129
1000432,3000283
1000433,3000120
1000434,3000300
1000434,3000020
1000435,3000271
1000436,3000520
1000437,3000227
1000438,3000098
1000439,3000380
1000440,3000240
1000441,3000189
1000442,3000263
1000442,3000365
1000443,3000302
1000444,3000379
1000445,3000413
1000446,3000140
1000447,3000035
1000448,3000152
1000449,3000079
1000450,3000441
1000451,3000115
1000452,3000327
1000453,3000332
1000454,3000033
1000455,3000243
1000456,3000241
1000457,3000061
1000458,3000295
1000459,3000246
1000460,3000098
1000461,3000014
1000462,3000476
1000463,3000107
1000464,3000034
1000465,3000332
1000466,3000436
1000467,3000206
1000468,3000399
1000469,3000383
1000470,3000039
1000471,3000084
1000472,3000448
1000473,3000418
1000474,3000170
1000475,3000327
1000476,3000204
1000476,3000256
1000476,3000182
1000477,3000164
1000478,3000068
1000479,3000332
1000480,3000473
1000481,3000272
1000482,3000050
1000483,3000432
1000484,3000503
1000485,3000458
1000486,3000433
1000487,3000195
1000488,3000266
1000488,3000223
1000489,3000110
1000490,3000332
1000491,3000212
1000492,3000320
1000493,3000073
1000494,3000512
1000495,3000186
1000496,3000267
1000497,3000008
1000498,3000330
1000499,3000011
1000500,3000066
1000501,3000180
1000501,3000304
1000503,3000197
1000504,3000231
1000505,3000019
1000506,3000405
1000507,3000483
1000508,3000495
1000509,3000325
1000509,3000058
1000510,3000154
1000511,3000194
1000512,3000191
1000513,3000007
1000514,3000434
1000515,3000319
1000516,3000451
1000517,3000485
1000518,3000385
1000519,3000130
1000520,3000361
1000521,3000069
1000522,3000032
1000523,3000060
1000524,3000428
1000525,3000237
1000526,3000112
1000527,3000136
1000528,3000249
1000528,3000282
1000528,3000089
1000528,3000379
1000528,3000459
1000529,3000108
1000529,3000452
1000530,3000100
1000531,3000235
1000531,3000381
1000532,3000401
1000533,3000315
1000534,3000529
1000535,3000336
1000536,3000188
1000537,3000293
1000538,3000456
1000539,3000465
1000540,3000366
1000540,3000078
1000541,3000109
1000542,3000126
1000543,3000317
1000544,3000524
1000545,3000522
1000546,3000516
1000547,3000332
1000547,3000059
1000548,3000002
1000549,3000023
1000550,3000189
1000551,3000236
1000552,3000207
1000553,3000183
1000553,3000428
1000554,3000214
1000554,3000429
1000554,3000049
1000555,3000381
1000556,3000030
1000557,3000028
1000558,3000394
1000559,3000234
1000560,3000291
1000561,3000313
1000562,3000422
1000563,3000238
1000564,3000141
1000565,3000226
1000566,3000184
1000567,3000232
1000567,3000001
1000568,3000482
1000569,3000077
1000570,3000006
1000571,3000150
1000572,3000508
1000573,3000250
1000574,3000037
1000575,3000259
1000576,3000378
1000576,3000225
1000577,3000455
1000578,3000322
1000579,3000272
1000580,3000146
1000580,3000481
1000581,3000167
1000582,3000490
1000583,3000477
1000584,3000297
1000585,3000372
1000586,3000179
1000586,3000135
1000587,3000026
1000588,3000357
1000589,3000235
1000590,3000201
1000591,3000123
1000591,3000494
1000592,3000486
1000592,3000421
1000592,3000083
1000592,3000376
1000593,3000393
1000594,3000114
1000595,3000096
1000596,3000132
1000597,3000097
1000598,3000244
1000599,3000217
1000600,3000292
1000600,3000156
1000600,3000359
1000601,3000280
1000602,3000069
1000603,3000015
1000604,3000232
1000604,3000027
1000605,3000236
1000606,3000459
1000607,3000075
1000608,3000099
1000609,3000233
1000609,3000017
1000610,3000207
1000611,3000111
1000612,3000069
1000613,3000326
1000614,3000470
1000615,3000499
1000616,3000353
1000617,3000322
1000618,3000015
1000619,3000331
1000620,3000457
1000621,3000265
1000622,3000280
1000623,3000384
1000624,3000064
1000625,3000064
1000626,3000276
1000627,3000064
1000628,3000413
1000629,3000373
1000630,3000301
1000631,3000114
1000632,3000496
1000632,3000220
1000633,3000093
1000634,3000137
1000635,3000466
1000636,3000406
1000637,3000321
1000638,3000495
1000639,3000042
1000640,3000501
1000641,3000466
1000642,3000318
1000643,3000466
1000644,3000253
1000645,3000067
1000646,3000224
1000647,3000403
1000648,3000004
1000649,3000505
1000650,3000057
1000651,3000312
1000652,3000172
1000653,3000403
1000654,3000372
1000655,3000487
1000656,3000498
1000657,3000169
1000658,3000254
1000659,3000462
1000660,3000528
1000662,3000205
1000663,3000531
1000664,3000518
1000665,3000502
1000666,3000242
1000667,3000146
1000667,3000003
1000668,3000165
1000669,3000048
1000670,3000249
1000671,3000029
1000672,3000161
1000672,3000404
1000673,3000391
1000674,3000280
1000675,3000439
1000676,3000499
1000677,3000311
1000678,3000356
1000679,3000527
1000680,3000128
1000681,3000279
1000682,3000235
1000683,3000367
1000684,3000322
1000685,3000139
1000686,3000348
1000687,3000149
1000688,3000438
