movie_code,company_name
1000152,CJ 엔터테인먼트
1000152,㈜더타워픽쳐스
1000153,㈜영화사 집
1000154,주식회사 어뉴
1000155,㈜미스터로맨스
1000156,㈜영화사 집
1000157,안나푸르나필름
1000158,폴룩스픽쳐스
1000159,㈜영화사 수박
1000160,㈜명필름
1000160,㈜조이래빗
1000161,㈜엔진필름
1000162,유비유필름
1000162,무비락
1000163,담소필름
1000164,홍필름
1000164,수필름
1000165,㈜영화사비단길
1000166,㈜영화사 집
1000167,㈜아이언팩키지
1000168,영화사올㈜
1000168,㈜사나이픽처스
1000169,㈜에스에이엠지엔터테인먼트
1000170,(주)영화사 금월
1000170,페퍼민트앤컴퍼니
1000171,㈜영화사 월광
1000171,㈜퍼펙트스톰필름
1000172,더 램프㈜
1000173,㈜옥토버시네마
1000174,㈜싸이더스
1000175,㈜비에이엔터테인먼트
1000175,㈜미디어메이커
1000176,㈜팔레트픽처스
1000177,(주)주피터필름
1000178,스튜디오 드림캡쳐
1000179,㈜무비락
1000179,정지우 필름
1000179,필름봉옥
1000180,㈜디씨지플러스
1000180,㈜어바웃필름
1000181,㈜용필름
1000182,(주)콘텐츠케이
1000183,나우필름㈜
1000183,㈜영화사레드피터
1000183,파인하우스필름㈜
1000184,와인드업필름
1000184,와이낫필름
1000185,(주) 앞에 있다
1000186,CJ ENTERTAINMENT
1000187,하이브미디어코프
1000188,맨필름
1000188,쇼박스
1000189,㈜비에이엔터테인먼트
1000189,㈜빅픽쳐
1000190,코코너
1000191,㈜수필름
1000192,㈜영화적순간
1000193,필름몬스터
1000193,㈜비에이엔터테인먼트
1000194,TPS컴퍼니
1000194,CJ ENM
1000195,(주)라인필름
1000196,㈜보경사
1000197,수필름
1000198,다이스필름(주)
1000199,㈜루스이소니도스
1000200,이스트드림 시노펙스㈜
1000200,㈜기억속의매미
1000201,㈜영화사 기쁜우리젊은날
1000201,이십세기폭스코리아㈜
1000202,㈜오에이엘
1000203,㈜빅픽쳐
1000203,CJ 엔터테인먼트
1000204,CJ엔터테인먼트
1000204,빛나는 제국
1000205,㈜노던크로스
1000205,GDH
1000206,㈜수필름
1000206,㈜홍필름
1000207,㈜쇼박스
1000207,㈜고래와 유기농
1000208,상상필름
1000209,조이래빗
1000209,㈜금진자산운용
1000210,㈜비에이엔터테인먼트
1000210,㈜사람엔터테인먼트
1000211,㈜영화사 두둥
1000212,㈜이디오플랜
1000213,㈜에코필름
1000213,CJ 엔터테인먼트
1000214,㈜시네마서비스
1000215,CJ E M
1000215,폴룩스픽쳐스(주)
1000216,㈜영화사레드피터
1000217,㈜무비락
1000218,㈜트윈필름
1000218,㈜비에이엔터테인먼트
1000219,(주)두타연
1000219,㈜판타지오픽쳐스
1000220,㈜영화사 아이비젼
1000221,뉴스타파(한국탐사저널리즘센터)
1000222,리얼라이즈픽쳐스㈜
1000223,㈜씨앗필름
1000224,필름있수다
1000225,씨제이이앤엠㈜
1000225,㈜스튜디오이크
1000226,루이스 픽쳐스(주)
1000227,㈜미인픽쳐스
1000228,더 램프㈜
1000229,블라드스튜디오
1000230,㈜영화사 금월
1000231,리양필름㈜
1000232,블러썸픽쳐스
1000233,㈜비에이엔터테인먼트
1000233,워크하우스컴퍼니㈜
1000234,리양필름주식회사
1000235,파파스필름
1000235,오스카10스튜디오
1000236,주식회사 무다필름
1000236,최용석
1000237,(주)초이락컨텐츠팩토리
1000238,안나푸르나필름
1000239,유비유필름
1000240,㈜하이브미디어코프
1000241,폭스 인터내셔널 프로덕션(코리아)
1000241,리얼라이즈픽쳐스㈜
1000242,(주)오콘
1000243,㈜영화사비단길
1000243,상의원문화산업전문(유)
1000244,씨제이이앤엠㈜
1000244,트웰브져니㈜
1000245,㈜태원엔터테인먼트
1000246,㈜싸이더스
1000246,로커스
1000247,오퍼스픽쳐스
1000248,하이브미디어코프
1000249,㈜영화사 배
1000250,㈜오콘
1000251,㈜영화사봄
1000251,㈜기린제작사
1000252,㈜명필름
1000253,㈜명필름
1000254,㈜빅펀치픽쳐스
1000254,㈜홍필름
1000254,㈜비에이엔터테인먼트
1000255,㈜비에이엔터테인먼트
1000255,메가박스중앙(주)플러스엠
1000256,케이엠컬쳐㈜
1000257,로드픽쳐스
1000257,CJ ENM
1000258,㈜영화사 수작
1000258,㈜모티브 랩
1000258,㈜디씨지플러스
1000259,㈜영화사 심플렉스
1000260,㈜비리프
1000261,㈜영화사 문
1000262,㈜26컴퍼니
1000263,리양필름㈜
1000264,영화사김치(주)
1000265,㈜조이래빗
1000266,글뫼
1000267,(주)빅스톤픽쳐스
1000268,CJ ENM Studios 블라드스튜디오
1000269,다이스필름
1000271,㈜비에이엔터테인먼트
1000272,㈜콘텐츠지
1000273,반짝반짝영화사
1000274,우주필름
1000274,뱅가드스튜디오
1000275,고고스튜디오
1000276,오퍼스 픽쳐스
1000277,㈜하리마오 픽쳐스
1000278,㈜영화사 집
1000279,파인하우스필름㈜
1000279,나우필름㈜
1000279,NHK
1000280,위더스필름㈜
1000281,㈜초이락컨텐츠팩토리
1000282,안나푸르나필름
1000283,㈜영화사 일취월장
1000284,㈜엠씨엠씨
1000285,㈜영화사장춘
1000286,㈜초이락컨텐츠팩토리
1000287,(주)와이랩
1000287,㈜노마드 필름
1000287,시네마레인코트
1000288,㈜아우라픽처스
1000288,씨제이이앤엠㈜
1000289,㈜드림써치C C
1000289,앤디스튜디오
1000290,㈜오콘
1000291,㈜엠픽처스
1000291,㈜점프엔터테인먼트
1000292,상상필름㈜
1000293,㈜스튜디오이크
1000293,씨제이이앤엠㈜
1000294,(주)컨텐츠온미디어
1000294,㈜전망좋은영화사
1000295,㈜노시스 컴퍼니
1000295,㈜레드로버
1000296,㈜영화사피어나
1000297,㈜영화사 월광
1000298,폴룩스(주)바른손
1000299,㈜바른손이앤에이
1000300,변산문화산업전문유한회사
1000301,(주)용필름
1000302,㈜데이드림엔터테인먼트
1000303,하이브미디어코프
1000304,㈜고래픽처스
1000305,필름케이
1000306,㈜디씨지플러스
1000306,㈜명필름
1000306,㈜인사이트필름
1000307,데이드림 엔터테인먼트
1000308,㈜시네마허브
1000308,㈜환타지엔터테인먼트
1000309,㈜화인웍스
1000309,키메이커
1000310,㈜영화사 동물의왕국
1000310,CJ 엔터테인먼트
1000311,바이어스이엔티
1000312,㈜아지트필름
1000313,STUDIO101
1000313,CJ ENM
1000314,㈜지오엔터테인먼트
1000315,(유)전망좋은영화사 문화산업전문회사
1000315,(주)마음에드는영화사
1000315,(주)전망좋은영화사
1000315,(주)컨텐츠온
1000316,㈜루이스픽쳐스
1000316,BROEDMACHINE
1000316,㈜브로콜리픽쳐스
1000317,㈜고스트픽처스
1000317,㈜주피터필름
1000318,㈜오콘
1000319,영화사 좋은날
1000319,디씨지플러스
1000320,CJ ENM
1000320,㈜JK필름
1000321,㈜또 하나의 가족 제작위원회
1000321,㈜에이트볼 픽쳐스
1000322,(주)더블유팩토리
1000323,㈜발렌타인필름
1000323,㈜영화사 궁
1000324,㈜지오필름
1000325,㈜티피에스 컴퍼니
1000325,㈜담양메타영상테마파크
1000325,(사)광주영상위원회
1000325,대전영상위원회
1000326,리얼문화산업전문 유한회사
1000327,(주)영화사 꽃
1000327,(유)오피스문화산업전문회사
1000328,㈜에이디사공육
1000328,씨네주(유)
1000329,(주)미인픽쳐스
1000329,(주)곽픽쳐스
1000330,㈜오콘
1000331,툰박스 엔터테인먼트
1000331,㈜레드로버
1000332,㈜사나이픽처스
1000333,오퍼스 픽쳐스
1000333,초이스컷 픽쳐스
1000334,민영화사
1000335,㈜아센디오
1000336,㈜초이락컨텐츠팩토리
1000337,(주)레드로버
1000337,툰박스 엔터테인먼트
1000337,상해홍만과학기술유한공사
1000338,㈜아이필름코퍼레이션
1000338,㈜토리픽쳐스
1000339,㈜씨네월드
1000340,앤솔로지 스튜디오㈜
1000341,㈜트리니티 엔터테인먼트
1000342,반짝반짝
1000343,빅히트 엔터테인먼트
1000343,캠프 엔터테인먼트
1000344,㈜하리마오 픽쳐스
1000345,(주)비에이엔터테인먼트
1000345,(주)무비스퀘어
1000346,영화사 김치㈜
1000347,㈜주피터필름
1000348,영화사 다물㈜
1000349,㈜빅스톤픽쳐스
1000350,청년필름㈜
1000350,비밀의 화원
1000351,장차앤코
1000352,게니우스
1000353,(주)퍼펙트스톰필름
1000354,㈜명필름
1000355,빅히트엔터테인먼트
1000355,캠프엔터테인먼트
1000356,㈜루스이소니도스
1000357,휴메니테라 픽쳐스
1000358,㈜스토리지
1000358,연우무대
1000359,(주)에이디사공육
1000360,수필름
1000361,(주)영화사 신세계
1000361,(주)바른손이앤에이
1000362,㈜사나이픽처스
1000363,㈜영화사레드피터
1000364,스튜디오N
1000365,주식회사 브레인샤워
1000366,씨네주
1000366,누리픽처스
1000367,주식회사 에이컴즈
1000367,삼성에버랜드㈜
1000368,주식회사 브레인샤워
1000368,㈜제이와이피픽쳐스
1000369,㈜영화사 두둥
1000370,(주)사나이픽처스
1000371,반짝반짝영화사
1000372,㈜브레드이발소
1000373,㈜무비스퀘어
1000374,팔레트 픽처스
1000374,㈜사람엔터테인먼트
1000375,청년필름㈜
1000375,다이스필름
1000376,㈜영화사 담담
1000377,클라이맥스 스튜디오
1000377,앤드마크 스튜디오
1000378,㈜하이브미디어코프
1000379,㈜초이락컨텐츠컴퍼니
1000380,오스카10스튜디오
1000380,스토리퐁
1000382,㈜트릭스터
1000383,(주)토이온
1000384,㈜데이드림엔터테인먼트
1000385,씨네주 유한회사
1000385,Osca10studio
1000386,(주)영화사 거미
1000386,필름트레인
1000387,OCON STUDIOS
1000388,(주)파이브데이
1000389,㈜영화사 소중한
1000390,볼미디어㈜
1000391,㈜마운틴무브먼트스토리
1000392,㈜아이필름코퍼레이션
1000393,영화사 이창
1000393,쇼트케이크㈜
1000394,인벤트스톤
1000395,와이웍스엔터테인먼트
1000395,돈키호테엔터테인먼트
1000396,필름에이픽쳐스
1000396,GH엔터테인먼트
1000396,조이앤시네마
1000397,미인픽쳐스
1000397,미디어모굴
1000397,에이치투필름
1000398,청우필름
1000399,주식회사 발포플랜
1000399,브라더픽처스
1000400,씨제이포디플렉스
1000401,㈜비에이엔터테인먼트
1000401,다니필름
1000402,㈜영화사 봄
1000403,㈜인사이트 필름
1000403,㈜어바웃필름
1000403,㈜디씨지플러스
