movie_code,genre_name
1000194,스릴러
1000195,스릴러
1000195,드라마
1000196,액션
1000196,코메디
1000197,드라마
1000197,시대극/사극
1000198,미스터리
1000198,드라마
1000199,드라마
1000199,전기
1000200,액션
1000201,드라마
1000201,코메디
1000202,미스터리
1000202,스릴러
1000203,멜로드라마
1000204,드라마
1000204,액션
1000204,범죄
1000205,공포
1000205,스릴러
1000205,드라마
1000206,코메디
1000207,멜로/로맨스
1000207,드라마
1000208,스릴러
1000208,미스터리
1000209,드라마
1000209,전쟁
1000210,액션
1000210,판타지
1000210,미스터리
1000211,드라마
1000211,시대극/사극
1000212,드라마
1000213,드라마
1000213,범죄
1000213,스릴러
1000214,드라마
1000214,전기
1000214,시대극/사극
1000215,액션
1000215,드라마
1000215,범죄
1000216,SF
1000216,코메디
1000216,드라마
1000216,사회물(경향)
1000217,멜로/로맨스
1000217,드라마
1000218,드라마
1000218,범죄
1000218,스릴러
1000219,드라마
1000220,코메디
1000221,사회
1000222,드라마
1000222,스릴러
1000222,범죄
1000223,드라마
1000224,코메디
1000224,가족
1000224,드라마
1000225,어드벤처
1000226,SF
1000226,액션
1000227,범죄
1000227,스릴러
1000228,액션
1000229,액션
1000229,공포
1000229,SF
1000229,판타지
1000229,스릴러
1000229,재난
1000230,액션
1000230,범죄
1000230,스릴러
1000231,범죄
1000231,드라마
1000232,드라마
1000233,드라마
1000234,멜로드라마
1000234,코메디
1000235,드라마
1000236,드라마
1000237,어드벤처
1000238,드라마
1000238,코메디
1000238,가족
1000239,공포
1000239,판타지
1000240,드라마
1000241,시대극/사극
1000242,어드벤처
1000243,드라마
1000244,멜로/로맨스
1000244,코메디
1000245,액션
1000245,시대극/사극
1000246,어드벤처
1000246,코메디
1000246,판타지
1000246,멜로드라마
1000247,드라마
1000248,드라마
1000249,드라마
1000250,가족
1000251,드라마
1000251,SF
1000252,드라마
1000253,드라마
1000254,드라마
1000254,코메디
1000255,범죄
1000255,스릴러
1000256,드라마
1000256,스포츠
1000257,코메디
1000258,스릴러
1000259,드라마
1000259,시대극/사극
1000260,코메디
1000261,멜로드라마
1000262,드라마
1000263,코메디
1000263,드라마
1000263,어드벤처
1000264,드라마
1000264,코메디
1000265,드라마
1000266,드라마
1000266,판타지
1000267,액션
1000267,스릴러
1000268,드라마
1000268,액션
1000268,SF
1000269,액션
1000269,드라마
1000270,공포
1000271,미스터리
1000271,스릴러
1000272,공포
1000272,어드벤처
1000272,범죄
1000272,액션
1000273,드라마
1000274,스릴러
1000274,드라마
1000274,코메디
1000275,멜로/로맨스
1000276,드라마
1000276,액션
1000276,느와르
1000277,액션
1000277,전쟁
1000277,드라마
1000278,범죄
1000278,스릴러
1000279,미스터리
1000280,드라마
1000280,판타지
1000281,어드벤처
1000282,드라마
1000283,드라마
1000283,코메디
1000284,범죄
1000285,액션
1000285,드라마
1000285,범죄
1000286,아동
1000286,SF
1000286,어드벤처
1000286,가족
1000287,드라마
1000287,코메디
1000288,드라마
1000288,범죄
1000289,어드벤처
1000290,어드벤처
1000290,액션
1000290,판타지
1000291,범죄
1000291,액션
1000292,드라마
1000292,스릴러
1000293,아동
1000294,드라마
1000294,코메디
1000295,코메디
1000295,액션
1000296,공포
1000296,범죄
1000296,스릴러
1000297,드라마
1000298,드라마
1000298,스릴러
1000299,드라마
1000299,미스터리
1000299,판타지
1000299,멜로드라마
1000300,드라마
1000300,청춘영화
1000301,드라마
1000302,액션
1000302,스릴러
1000303,드라마
1000304,범죄
1000304,드라마
1000305,드라마
1000305,스포츠
1000306,코메디
1000306,멜로/로맨스
1000307,코메디
1000307,드라마
1000307,범죄
1000308,드라마
1000308,코메디
1000309,드라마
1000310,드라마
1000310,멜로드라마
1000311,공포
1000311,스릴러
1000312,멜로/로맨스
1000313,드라마
1000313,액션
1000314,드라마
1000314,가족
1000315,코메디
1000315,멜로/로맨스
1000316,범죄
1000316,드라마
1000317,드라마
1000317,공포
1000317,미스터리
1000318,어드벤처
1000319,드라마
1000320,드라마
1000320,코메디
1000321,드라마
1000322,드라마
1000322,미스터리
1000322,멜로드라마
1000323,드라마
1000323,시대극/사극
1000324,코메디
1000324,드라마
1000325,시대극/사극
1000325,액션
1000325,무협
1000326,액션
1000326,느와르
1000327,스릴러
1000327,미스터리
1000328,스릴러
1000328,범죄
1000329,드라마
1000329,범죄
1000330,아동
1000330,어드벤처
1000331,드라마
1000332,액션
1000332,멜로/로맨스
1000333,드라마
1000333,범죄
1000334,드라마
1000334,어드벤처
1000334,종교
1000335,범죄
1000335,액션
1000336,어드벤처
1000336,아동
1000337,어드벤처
1000337,코메디
1000337,가족
1000338,미스터리
1000338,스릴러
1000339,시대극/사극
1000339,드라마
1000340,드라마
1000340,코메디
1000341,드라마
1000342,드라마
1000343,인물
1000344,드라마
1000345,드라마
1000345,전기
1000346,액션
1000346,코메디
1000347,드라마
1000347,액션
1000348,스릴러
1000349,코메디
1000349,드라마
1000350,드라마
1000350,공포
1000350,미스터리
1000351,드라마
1000351,느와르
1000351,범죄
1000351,액션
1000352,드라마
1000352,코메디
1000353,드라마
1000354,코메디
1000354,스릴러
1000355,뮤직
1000355,인물
1000356,스포츠
1000356,드라마
1000357,액션
1000357,드라마
1000357,코메디
1000358,코메디
1000358,멜로드라마
1000359,코메디
1000359,멜로드라마
1000360,드라마
1000360,역사
1000360,인권
1000361,미스터리
1000361,스릴러
1000362,드라마
1000362,범죄
1000362,느와르
1000362,미스터리
1000362,스릴러
1000362,액션
1000362,무협
1000363,드라마
1000364,드라마
1000364,액션
1000365,드라마
1000365,코메디
1000366,드라마
1000366,멜로드라마
1000366,코메디
1000367,자연ㆍ환경
1000368,코메디
1000368,시대극/사극
1000369,드라마
1000369,가족
1000370,드라마
1000370,범죄
1000371,드라마
1000372,드라마
1000373,공포
1000374,드라마
1000374,범죄
1000374,미스터리
1000374,스릴러
1000375,액션
1000375,드라마
1000375,범죄
1000376,드라마
1000376,시대극/사극
1000377,드라마
1000378,드라마
1000378,멜로/로맨스
1000379,어드벤처
1000380,드라마
1000381,드라마
1000381,가족
1000382,범죄
1000382,액션
1000383,가족
1000383,어드벤처
1000384,드라마
1000384,범죄
1000384,스릴러
1000385,코메디
1000385,공포
1000386,스릴러
1000387,어드벤처
1000388,공포
1000388,미스터리
1000389,범죄
1000389,액션
1000389,느와르
1000390,멜로/로맨스
1000390,드라마
1000391,멜로/로맨스
1000391,스릴러
1000392,공포
1000392,미스터리
1000393,코메디
1000394,멜로드라마
1000395,드라마
1000396,액션
1000397,드라마
1000397,범죄
1000398,코메디
1000398,드라마
1000399,공포
1000399,미스터리
1000400,인물
1000401,미스터리
1000401,드라마
1000402,멜로드라마
1000403,스릴러
1000403,미스터리
1000404,드라마
1000405,멜로드라마
1000405,드라마
1000406,드라마
1000407,액션
1000407,시대극/사극
1000408,코메디
1000409,범죄
1000409,액션
1000409,스릴러
1000410,어드벤처
1000411,스릴러
1000412,멜로/로맨스
1000412,드라마
1000413,코메디
1000413,가족
1000413,스릴러
1000414,드라마
1000415,미스터리
1000415,스릴러
1000416,가족
1000416,드라마
1000417,드라마
1000418,멜로/로맨스
1000418,코메디
1000419,스릴러
1000420,드라마
1000421,드라마
1000422,드라마
1000423,드라마
1000423,액션
1000423,범죄
1000424,드라마
1000424,범죄
1000425,범죄
1000425,미스터리
1000425,전쟁
1000426,범죄
1000427,어드벤처
1000428,드라마
1000428,코메디
1000428,가족
1000429,드라마
1000429,코메디
1000430,코메디
1000430,액션
1000431,어드벤처
1000431,판타지
1000432,멜로드라마
1000432,범죄
1000433,드라마
1000434,액션
1000435,공포
