movie_code,week,sales,audience,screens
1000194,1,493726190,55698,4488
1000195,1,582488900,77978,
1000196,1,542616800,75112,2898
1000197,1,634028200,83605,3057
1000198,1,819369900,139198,2903
1000199,1,139569700,19124,1084
1000200,1,651885615,68531,3917
1000201,1,716393200,98673,3171
1000202,1,323237000,42192,2067
1000203,1,375613800,53241,3079
1000204,1,659208600,89466,2839
1000205,1,1282600530,129937,4539
1000206,1,577070465,72873,5811
1000207,1,499115310,52696,2880
1000208,1,594482700,97168,2354
1000209,1,571183100,78467,4150
1000210,1,508099990,65484,4732
1000211,1,1187248450,151261,6598
1000212,1,189347880,23047,3068
1000213,1,480974200,66643,2217
1000214,1,216150500,29603,3137
1000215,1,713315600,95271,3800
1000216,1,1617241600,264711,6347
1000217,1,339418710,37142,3976
1000218,1,1870660015,188818,4482
1000219,1,551479100,73635,2684
1000220,1,404203300,56370,1645
1000221,1,60128300,7812,330
1000222,1,352683650,43690,4604
1000223,1,362001290,47027,4546
1000224,1,448389600,62171,2569
1000225,1,171126580,22805,907
1000226,1,1692595700,274510,4503
1000227,1,618816400,80774,2492
1000228,1,400603149,41498,3922
1000229,1,968450342,100184,4983
1000230,1,625179697,64914,3875
1000231,1,584559330,64050,4416
1000232,1,261132380,30999,4009
1000233,1,302917360,32889,4117
1000234,1,545910500,73132,2540
1000235,1,701819263,78391,4463
1000236,1,410200,56,21
1000237,1,1145177500,162242,1740
1000238,1,503920900,63660,4613
1000239,1,1056941500,144967,2296
1000240,1,843052500,131795,3691
1000241,1,800909400,136240,3532
1000242,1,143674000,20700,701
1000243,1,828912900,108567,2171
1000244,1,251967520,32184,3745
1000245,1,839276950,105255,6519
1000246,1,258030910,34635,1072
1000247,1,252358900,33686,2551
1000248,1,383226540,42429,4714
1000249,1,175564100,21887,2141
1000250,1,113249440,16260,935
1000251,1,743469867,82871,5090
1000252,1,690142700,101033,2646
1000253,1,401253500,58083,2748
1000254,1,767149112,96035,5096
1000255,1,635247390,77962,4829
1000256,1,446883400,61508,2516
1000257,1,678028690,88302,6095
1000258,1,322557500,41956,2292
1000259,1,662099850,83073,3326
1000260,1,404009860,42859,4818
1000261,1,511107000,67607,2854
1000262,1,650958700,108735,3514
1000263,1,344166220,45094,2732
1000264,1,244461600,33396,2092
1000265,1,716437430,75550,5364
1000266,1,333649506,37052,2349
1000267,1,961451300,161021,
1000268,1,890817460,89286,4746
1000269,1,1020588600,121991,2497
1000270,1,11000,5,5
1000271,1,425765780,49583,4455
1000272,1,788193774,78995,4935
1000273,1,354687300,59737,2558
1000274,1,483123800,64516,3626
1000275,1,539797418,56742,3608
1000276,1,308866100,39397,1150
1000277,1,349709600,47432,2120
1000278,1,962388410,124067,6076
1000279,1,446362600,54088,2837
1000280,1,706255000,115456,2437
1000281,1,202041420,27938,1130
1000282,1,321831967,36258,2786
1000283,1,367503500,54251,2024
1000284,1,323242370,53451,2675
1000285,1,566976530,85855,4311
1000286,1,352468520,48839,1526
1000287,1,356030000,48348,2327
1000288,1,358068553,38864,3612
1000289,1,1234641300,154579,1323
1000290,1,369414150,40701,1352
1000291,1,327370790,37070,3770
1000292,1,499372600,67380,
1000293,1,80562429,8166,731
1000294,1,269220500,35936,1901
1000295,1,220939760,26010,3051
1000296,1,452519200,56757,3993
1000297,1,376885807,47430,4419
1000298,1,737244400,124688,3361
1000299,1,520694500,71077,4004
1000300,1,336347900,43149,3298
1000301,1,420845300,57510,2581
1000302,1,429188850,54297,3131
1000303,1,289592589,30547,3090
1000304,1,318157530,35247,4618
1000305,1,307037134,38060,3533
1000306,1,403563166,51973,3423
1000307,1,1192611300,163644,1856
1000308,1,233197720,35607,4068
1000309,1,463897100,61795,2569
1000310,1,505016600,67072,2681
1000311,1,317958271,33542,1477
1000312,1,191800410,29855,3154
1000313,1,405289290,45153,5086
1000314,1,206218900,28793,1813
1000315,1,102407500,16506,783
1000316,1,289651980,35807,3589
1000317,1,190736700,24638,920
1000318,1,72565683,9278,803
1000319,1,309466700,52321,2607
1000320,1,192488610,20706,2712
1000321,1,189489500,27304,653
1000322,1,482064700,63347,2317
1000323,1,335132900,43694,2359
1000324,1,257508580,35839,2857
1000325,1,593991700,79801,2679
1000326,1,887028600,146965,
1000327,1,353043000,46567,1842
1000328,1,355845700,59907,2591
1000329,1,305148800,53333,2376
1000330,1,72168900,10545,611
1000331,1,171843500,26870,895
1000332,1,331691500,50014,2281
1000333,1,290070400,38128,1784
1000334,1,171065477,22317,1353
1000335,1,325912000,32857,2478
1000336,1,405005750,57616,1581
1000337,1,,,
1000338,1,136054830,18236,2870
1000339,1,224902850,34877,3900
1000340,1,340470347,42670,3703
1000341,1,248145500,35583,2604
1000342,1,261981600,37015,2838
1000343,1,887162760,109242,1960
1000344,1,218862300,34334,1842
1000345,1,319668700,44469,3091
1000346,1,231325864,27676,2983
1000347,1,391282000,60407,2191
1000348,1,686422300,84068,1921
1000349,1,170258510,22057,3803
1000350,1,405288500,53657,2406
1000351,1,110483800,13936,753
1000352,1,308997600,35078,3076
1000353,1,395873500,65584,2402
1000354,1,407772400,55985,2762
1000355,1,616136000,76800,698
1000356,1,388323000,46362,3227
1000357,1,365671600,49585,2060
1000358,1,270250900,35140,1847
1000359,1,334212300,44941,1942
1000360,1,257451300,44340,2617
1000361,1,359864000,49100,3808
1000362,1,290092301,31843,3443
1000363,1,188405540,23357,2499
1000364,1,286778116,36639,3133
1000365,1,246363000,32598,2767
1000366,1,195502700,26180,1673
1000367,1,362417093,39555,3251
1000368,1,373257370,47391,2631
1000369,1,124011100,17766,1760
1000370,1,506266948,56016,2620
1000371,1,204296220,25929,3049
1000372,1,225040600,27048,958
1000373,1,205311000,32837,943
1000374,1,251304150,28097,2241
1000375,1,270162120,33072,3059
1000376,1,290767700,49216,2372
1000377,1,181494964,20239,2581
1000378,1,299015180,38356,2362
1000379,1,55377755,6167,599
1000380,1,228534280,26557,2671
1000381,1,63550000,9112,544
1000382,1,360660921,44056,2583
1000383,1,17444600,2578,230
1000384,1,250255800,32277,1200
1000385,1,333932400,42736,2741
1000386,1,404585600,53485,2334
1000387,1,34480700,4097,298
1000388,1,505635600,56855,1216
1000389,1,371690200,50553,3110
1000390,1,187375530,22214,2927
1000391,1,261562900,32805,1636
1000392,1,415906100,45957,3328
1000393,1,198759993,21108,3596
1000394,1,180031700,24326,1933
1000395,1,373426620,39108,1656
1000396,1,612798450,66686,1679
1000397,1,181680800,24259,1531
1000398,1,125905400,16462,1452
1000399,1,176092600,21128,643
1000400,1,181029000,5231,145
1000401,1,277639640,32680,2550
1000402,1,210198300,27887,1504
1000403,1,182300920,19449,3637
1000404,1,162200,56,7
1000405,1,347464800,56244,1702
1000406,1,169077420,21262,2838
1000407,1,106312600,13085,2056
1000408,1,197573209,22025,3267
1000409,1,358848190,58443,2455
1000410,1,36949099,4592,436
1000411,1,222873850,27175,2892
1000412,1,176641590,21021,2661
1000413,1,135924400,18744,1342
1000414,1,300607420,35365,571
1000415,1,190901730,28542,2948
1000416,1,139539100,18781,1470
1000417,1,124654960,13434,2526
1000418,1,212052350,26734,2585
1000419,1,121532400,15307,915
1000420,1,259362050,43408,2278
1000421,1,90017700,13267,1149
1000422,1,158499600,26847,1993
1000423,1,409597801,40235,1559
1000424,1,578500,70,3
1000425,1,153116700,18797,2267
1000426,1,119610810,18122,2375
1000427,1,57482404,6930,374
1000428,1,90052300,13283,1140
1000429,1,110945200,14281,964
1000430,1,156722400,21892,1763
1000431,1,23896700,3199,299
1000432,1,160863300,21742,1956
1000433,1,146675500,20553,1638
1000434,1,22495600,3017,196
1000435,1,194232300,31078,1043
1000436,1,60199070,11617,954
1000437,1,54728170,6669,708
1000438,1,179060146,20564,1547
1000439,1,201933900,26887,1596
1000440,1,201306600,26180,1462
1000441,1,296657500,11867,380
1000442,1,47239113,5429,418
1000443,1,143614500,24402,1792
1000444,1,116057900,15518,1657
1000445,1,123799373,12790,1222
1000446,1,168215100,21790,981
1000447,1,137731510,20586,2367
1000448,1,43983200,6768,545
1000449,1,868502890,97289,3876
1000450,1,122864260,15489,3088
1000451,1,271626360,30566,844
1000452,1,99872400,13118,1323
1000453,1,21184500,2955,359
1000454,1,65976430,7799,1774
1000455,1,100290680,15086,1929
1000456,1,89426200,13723,528
1000457,1,139658880,15711,2302
1000458,1,85906300,11085,1730
1000459,1,135560140,18923,1894
1000460,1,169268216,17601,1889
1000461,1,108193550,14535,798
1000462,1,85415460,10458,761
1000463,1,161582300,26333,1738
1000464,1,74638100,10379,1089
1000465,1,12047300,1735,278
1000466,1,110733670,14163,1562
1000467,1,66440400,9130,1687
1000468,1,87568120,11157,1408
1000469,1,145901900,20063,420
1000470,1,26676900,3528,71
1000471,1,57128800,6261,96
1000472,1,70504960,9110,1676
1000473,1,292000,34,2
1000474,1,124455434,14332,1444
1000475,1,172155462,21404,2867
1000476,1,38612893,4504,353
1000477,1,143789600,19255,916
1000478,1,93747800,12378,945
1000479,1,39953640,5318,463
1000480,1,82678160,8410,524
1000481,1,97311400,11477,901
1000482,1,,,
1000483,1,113785400,15373,1082
1000484,1,27236200,3353,340
1000485,1,90324800,12249,899
1000486,1,37523400,5192,774
1000487,1,14288400,2181,230
1000488,1,118860000,7464,544
1000489,1,17836700,2357,137
1000490,1,67623710,8425,483
1000491,1,54126900,6459,102
1000492,1,85061000,13912,1392
1000493,1,64820050,8181,1501
1000494,1,56316100,7666,1285
1000495,1,85149100,10849,329
1000496,1,61739700,8688,450
1000497,1,52287171,6618,
1000498,1,68634523,7583,1753
1000499,1,17551600,2513,229
1000500,1,46985900,5492,527
1000501,1,54017800,7539,
1000502,1,49236400,6765,70
1000503,1,,,
1000504,1,53470500,7489,1099
1000505,1,90004900,15214,1759
1000506,1,37292300,6142,935
1000507,1,41903400,5195,563
1000508,1,40129559,4586,588
1000509,1,63533900,7756,363
1000510,1,57885300,8010,940
1000511,1,58820100,8031,932
1000512,1,76960950,9499,1384
1000513,1,54368800,5931,294
1000514,1,19729000,2656,260
1000515,1,64972100,8922,647
1000516,1,28088200,4006,632
1000517,1,,,
1000518,1,53012600,7401,673
1000519,1,20962070,3787,
1000520,1,64448900,8589,1321
1000521,1,11653256,1189,84
1000522,1,36941700,5755,365
1000523,1,38131000,5451,796
1000524,1,9114300,1405,173
1000525,1,37439500,5296,1152
1000526,1,39471080,6246,898
1000527,1,4904900,562,193
1000528,1,27906691,4091,482
1000529,1,68163000,3093,186
1000530,1,21806500,3191,373
1000531,1,47652400,5881,567
1000532,1,21081300,2115,392
1000533,1,,,
1000534,1,23801700,3268,440
1000535,1,25910186,2877,472
1000536,1,26246000,6562,480
1000537,1,,,
1000538,1,19805900,2728,470
1000539,1,,,
1000540,1,45216000,3941,477
1000541,1,15027800,2034,225
1000542,1,15322797,1610,349
1000543,1,12903899,1711,300
1000544,1,11715000,1922,164
1000545,1,34471000,5422,
1000546,1,22834700,3679,289
1000547,1,3552500,546,123
1000548,1,,,
1000549,1,23064892,2506,158
1000550,1,,,
1000551,1,4504000,500,166
1000552,1,38406440,4644,403
1000553,1,8704500,1098,141
1000554,1,20010500,2693,341
1000555,1,15388600,1694,357
1000556,1,5289000,703,117
1000557,1,16110500,2179,441
1000558,1,7920000,528,30
1000559,1,17624910,1899,545
1000560,1,11645900,1433,100
1000561,1,12719900,1620,163
1000562,1,17439699,2013,226
1000563,1,18966139,2071,387
1000564,1,10583200,1679,132
1000565,1,9091000,905,45
1000566,1,15366000,2126,428
1000567,1,8479500,1024,59
1000568,1,,,
1000569,1,12497000,1894,470
1000570,1,4309100,523,81
1000571,1,,,
1000572,1,860000,150,20
1000573,1,6795000,917,143
1000574,1,12613000,742,11
1000575,1,10800000,1800,16
1000576,1,7684678,777,
1000577,1,4534000,770,28
1000578,1,3084000,625,24
1000579,1,15694800,1887,99
1000580,1,,,
1000581,1,8483000,780,68
1000582,1,10477900,1267,46
1000583,1,2068000,358,37
1000584,1,252000,42,1
1000585,1,3238500,547,50
1000586,1,12680000,1268,6
1000587,1,12204595,1456,279
1000588,1,7917520,896,230
1000589,1,5085500,793,200
1000590,1,6920200,998,130
1000591,1,9203800,1292,76
1000592,1,4627000,661,36
1000593,1,3664630,428,132
1000594,1,5210500,758,167
1000595,1,4201000,579,152
1000596,1,7666790,1100,267
1000597,1,3953500,539,69
1000598,1,5348467,632,73
1000599,1,7566100,947,65
1000600,1,1269500,159,20
1000601,1,3597770,423,110
1000602,1,611500,60,15
1000603,1,11036200,1382,53
1000604,1,11340900,1402,56
1000605,1,3694100,438,165
