movie_code,distributor_name
1000142,(주)씨제이이엔엠
1000143,(주)씨제이이엔엠
1000144,(주)씨제이이엔엠
1000145,(주)넥스트엔터테인먼트월드(NEW)
1000146,(주)마인드마크
1000147,메가박스중앙(주) 플러스엠 엔터테인먼트
1000148,(주)넥스트엔터테인먼트월드(NEW)
1000149,롯데컬처웍스(주)롯데엔터테인먼트
1000150,(주)넥스트엔터테인먼트월드(NEW)
1000151,메가박스중앙(주) 플러스엠 엔터테인먼트
1000152,(주)씨제이이엔엠
1000153,(주)씨제이이엔엠
1000154,롯데컬처웍스(주)롯데엔터테인먼트
1000155,(주)넥스트엔터테인먼트월드(NEW)
1000156,(주)씨제이이엔엠
1000157,(주)넥스트엔터테인먼트월드(NEW)
1000158,CGV아트하우스
1000159,메가박스중앙(주) 플러스엠 엔터테인먼트
1000160,(주)넥스트엔터테인먼트월드(NEW)
1000161,(주)콘텐츠지오
1000161,(주)아티스트스튜디오
1000161,(주)무빙픽쳐스컴퍼니
1000162,CGV아트하우스
1000163,롯데쇼핑㈜롯데엔터테인먼트
1000164,메가박스중앙(주) 플러스엠 엔터테인먼트
1000165,(주)씨제이이엔엠
1000166,(주)씨제이이엔엠
1000167,(주)넥스트엔터테인먼트월드(NEW)
1000168,메가박스중앙(주) 플러스엠 엔터테인먼트
1000169,(주)쇼박스
1000170,워너브러더스 코리아(주)
1000171,(주)씨제이이엔엠
1000172,롯데컬처웍스(주)롯데엔터테인먼트
1000173,메가박스중앙(주) 플러스엠 엔터테인먼트
1000174,(주)키다리이엔티
1000175,메가박스중앙(주) 플러스엠 엔터테인먼트
1000175,주식회사 키위컴퍼니
1000176,(주)쇼박스
1000177,(주)씨제이이엔엠
1000178,(주)넥스트엔터테인먼트월드(NEW)
1000179,CGV아트하우스
1000180,(주)에이스메이커무비웍스
1000181,(주)넥스트엔터테인먼트월드(NEW)
1000182,(주)넥스트엔터테인먼트월드(NEW)
1000183,(주)넥스트엔터테인먼트월드(NEW)
1000184,(주)쇼박스
1000185,(주)넥스트엔터테인먼트월드(NEW)
1000186,(주)씨제이이엔엠
1000187,(주)넥스트엔터테인먼트월드(NEW)
1000188,(주)쇼박스
1000189,롯데컬처웍스(주)롯데엔터테인먼트
1000189,(주)콘텐츠지오
1000189,주식회사 에이투지엔터테인먼트
1000190,워너브러더스 코리아(주)
1000191,롯데쇼핑㈜롯데엔터테인먼트
1000192,(주)에이스메이커무비웍스
1000193,메가박스중앙(주) 플러스엠 엔터테인먼트
1000193,(주)콘텐츠지오
1000194,(주)씨제이이엔엠
1000195,CGV아트하우스
1000196,(주)넥스트엔터테인먼트월드(NEW)
1000197,롯데쇼핑㈜롯데엔터테인먼트
1000198,메가박스중앙(주) 플러스엠 엔터테인먼트
1000199,메가박스중앙(주) 플러스엠 엔터테인먼트
1000200,(주)마인드마크
1000201,이십세기폭스코리아(주)
1000202,메가박스중앙(주) 플러스엠 엔터테인먼트
1000203,(주)씨제이이엔엠
1000204,(주)씨제이이엔엠
1000205,(주)쇼박스
1000206,(주)넥스트엔터테인먼트월드(NEW)
1000207,메가박스중앙(주) 플러스엠 엔터테인먼트
1000208,CGV아트하우스
1000209,(주)넥스트엔터테인먼트월드(NEW)
1000210,주식회사 에이비오엔터테인먼트
1000210,메가박스중앙(주) 플러스엠 엔터테인먼트
1000211,메가박스중앙(주) 플러스엠 엔터테인먼트
1000212,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
1000212,(주)키다리이엔티
1000213,(주)씨제이이엔엠
1000214,(주)씨제이이엔엠
1000215,(주)씨제이이엔엠
1000216,(주)넥스트엔터테인먼트월드(NEW)
1000217,메가박스중앙(주) 플러스엠 엔터테인먼트
1000218,메가박스중앙(주) 플러스엠 엔터테인먼트
1000219,(주)넥스트엔터테인먼트월드(NEW)
1000220,메가박스중앙(주) 플러스엠 엔터테인먼트
1000221,롯데컬처웍스(주)롯데엔터테인먼트
1000222,롯데컬처웍스(주)롯데엔터테인먼트
1000223,메가박스중앙(주) 플러스엠 엔터테인먼트
1000224,(주)쇼박스
1000225,(주)씨제이이엔엠
1000226,워너브러더스 코리아(주)
1000227,씨네그루(주)다우기술
1000228,(주)씨제이이엔엠
1000229,(주)씨제이이엔엠
1000230,(주)넥스트엔터테인먼트월드(NEW)
1000231,(주)에이스메이커무비웍스
1000232,롯데컬처웍스(주)롯데엔터테인먼트
1000233,(주)바른손이앤에이
1000234,(주)씨제이이엔엠
1000235,(주)넥스트엔터테인먼트월드(NEW)
1000236,(주)넥스트엔터테인먼트월드(NEW)
1000237,(주)넥스트엔터테인먼트월드(NEW)
1000238,롯데쇼핑㈜롯데엔터테인먼트
1000239,(주)씨제이이엔엠
1000240,롯데컬처웍스(주)롯데엔터테인먼트
1000241,이십세기폭스코리아(주)
1000242,(주)넥스트엔터테인먼트월드(NEW)
1000243,(주)쇼박스
1000243,(주)와우픽쳐스
1000244,(주)씨제이이엔엠
1000245,롯데컬처웍스(주)롯데엔터테인먼트
1000245,(주)키다리이엔티
1000246,(주)넥스트엔터테인먼트월드(NEW)
1000247,오퍼스픽쳐스(유)
1000248,(주)하이브미디어코프
1000248,(주)마인드마크
1000249,(주)리틀빅픽쳐스
1000250,(주)넥스트엔터테인먼트월드(NEW)
1000251,(주)에이스메이커무비웍스
1000252,(주)리틀빅픽쳐스
1000253,롯데쇼핑㈜롯데엔터테인먼트
1000254,(주)쇼박스
1000255,메가박스중앙(주) 플러스엠 엔터테인먼트
1000256,메가박스중앙(주) 플러스엠 엔터테인먼트
1000257,(주)바른손이앤에이
1000258,(주)넥스트엔터테인먼트월드(NEW)
1000259,워너브러더스 코리아(주)
1000260,(주)넥스트엔터테인먼트월드(NEW)
1000261,(주)쇼박스
1000262,워너브러더스 코리아(주)
1000263,메가박스중앙(주) 플러스엠 엔터테인먼트
1000263,(주)리틀빅픽쳐스
1000264,메가박스중앙(주) 플러스엠 엔터테인먼트
1000265,(주)쇼박스
1000266,(주)쇼박스
1000267,롯데쇼핑㈜롯데엔터테인먼트
1000268,(주)씨제이이엔엠
1000269,(주)씨제이이엔엠
1000270,(주)에이스메이커무비웍스
1000271,(주)에이스메이커무비웍스
1000272,TCO(주)더콘텐츠온
1000272,씨제이 씨지브이(CJ CGV)(주)
1000273,(주)넥스트엔터테인먼트월드(NEW)
1000274,롯데쇼핑㈜롯데엔터테인먼트
1000275,씨제이 씨지브이(CJ CGV)(주)
1000276,유나이티드픽처스(주)
1000277,롯데쇼핑㈜롯데엔터테인먼트
1000278,(주)넥스트엔터테인먼트월드(NEW)
1000279,CGV아트하우스
1000280,롯데쇼핑㈜롯데엔터테인먼트
1000281,롯데컬처웍스(주)롯데엔터테인먼트
1000282,(주)마인드마크
1000283,롯데쇼핑㈜롯데엔터테인먼트
1000284,(주)메리크리스마스
1000285,(주)쇼박스
1000286,(주)넥스트엔터테인먼트월드(NEW)
1000287,(주)넥스트엔터테인먼트월드(NEW)
1000288,(주)씨제이이엔엠
1000289,(주)넥스트엔터테인먼트월드(NEW)
1000290,(주)넥스트엔터테인먼트월드(NEW)
1000291,(주)넥스트엔터테인먼트월드(NEW)
1000292,롯데쇼핑㈜롯데엔터테인먼트
1000293,(주)씨제이이엔엠
1000294,(주)넥스트엔터테인먼트월드(NEW)
1000295,(주)메리크리스마스
1000296,메가박스중앙(주) 플러스엠 엔터테인먼트
1000297,(주)에이스메이커무비웍스
1000298,(주)씨제이이엔엠
1000299,(주)쇼박스
1000300,메가박스중앙(주) 플러스엠 엔터테인먼트
1000301,(주)씨제이이엔엠
1000302,(주)리틀빅픽쳐스
1000303,롯데컬처웍스(주)롯데엔터테인먼트
1000304,(주)스튜디오디에이치엘
1000304,(주)키다리스튜디오
1000305,(주)씨제이이엔엠
1000306,롯데컬처웍스(주)롯데엔터테인먼트
1000307,(주)제이앤씨미디어그룹
1000307,TCO(주)더콘텐츠온
1000308,(주)리틀빅픽쳐스
1000308,(주)트리니티픽쳐스
1000309,(주)씨제이이엔엠
1000310,(주)씨제이이엔엠
1000311,(주)바이포엠스튜디오
1000311,(주)제이앤씨미디어그룹
1000312,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
1000312,(주)키다리이엔티
1000313,(주)씨제이이엔엠
1000314,(주)콘텐츠지오
1000315,롯데쇼핑㈜롯데엔터테인먼트
1000315,(주)마인스 엔터테인먼트
1000316,(주)에이스메이커무비웍스
1000317,(주)리틀빅픽쳐스
1000318,씨제이 씨지브이(CJ CGV)(주)
1000319,롯데쇼핑㈜롯데엔터테인먼트
1000320,(주)씨제이이엔엠
1000321,올픽처스 주식회사
1000322,(주)씨제이이엔엠
1000323,롯데쇼핑㈜롯데엔터테인먼트
1000324,메가박스중앙(주) 플러스엠 엔터테인먼트
1000325,롯데쇼핑㈜롯데엔터테인먼트
1000326,(주)씨제이이엔엠
1000327,(주)리틀빅픽쳐스
1000328,(주)넥스트엔터테인먼트월드(NEW)
1000329,(주)넥스트엔터테인먼트월드(NEW)
1000330,(주)넥스트엔터테인먼트월드(NEW)
1000331,(주)싸이더스
1000332,CGV아트하우스
1000333,(주)씨제이이엔엠
1000334,씨제이 씨지브이(CJ CGV)(주)
1000334,(주)레드아이스 엔터테인먼트
1000335,주식회사 로아앤코홀딩스
1000335,(주)아센디오
1000335,(주)제이앤씨미디어그룹
1000336,(주)넥스트엔터테인먼트월드(NEW)
1000337,롯데쇼핑㈜롯데엔터테인먼트
1000338,(주)아이필름코퍼레이션
1000338,씨제이 씨지브이(CJ CGV)(주)
1000339,메가박스중앙(주) 플러스엠 엔터테인먼트
1000340,(주)바른손이앤에이
1000341,오퍼스픽쳐스(유)
1000342,롯데쇼핑㈜롯데엔터테인먼트
1000343,씨지브이 아이스콘
